Status,Offshore,Gujarat,Rajasthan,Assam & Arunachal Pradesh,Tripura,Andhra Pradesh,Tamilnadu,West Bangal (CBM),Jharkhand (CBM),Madhya Pradesh (CBM),"Other state (UP,HP,MP,Bihar, Punjab,JK,WB)",Total
ONGC (Nomination),1273,3316,0,424,0,45,97,0,0,0,0,5155
Oil (Nomination),0,0,8,344,0,0,0,0,0,0,0,352
PSC/RSC & CBM Regime,34,135,375,31,0,4,6,0,0,0,1,586
Total-Flowing Oil Wells,1307,3451,383,799,0,49,103,0,0,0,0,6092
ONGC (Nomination),174,87,0,12,89,90,85,0,0,0,0,537
Oil (Nomination),0,0,17,86,0,0,0,0,0,0,0,103
PSC/RSC & CBM Regime,15,9,59,6,0,0,0,362,13,294,0,758
Total - Flowing Gas Wells,189,96,76,104,89,90,85,362,13,294,0,1398
Total Flowing Wells (a),1496,3547,459,903,89,139,188,362,13,294,0,7490
ONGC (Nomination),204,914,29,277,49,88,62,NA,NA,NA,NA,1623
Oil (Nomination),0,0,20,319,0,0,0,0,0,0,0,339
PSC/RSC & CBM Regime,21,86,96,35,0,0,7,117,9,10,NA,381
Total Non Flowing (b),225,1000,145,631,49,88,69,117,9,10,0,2343
Total flowing + Non flowing well (a+b),1721,4547,604,1534,138,227,257,479,22,304,0,9833
ONGC (Nomination),407,3967,51,1178,147,492,417,NA,NA,NA,NA,6659
Oil (Nomination),0,0,30,890,0,0,0,0,0,0,0,920
PSC/RSC & CBM Regime,45,90,320,4,0,0,0,18,0,33,0,510
Other Flowing & Non flowing (c),452,4057,401,2072,147,492,417,18,0,33,0,8089
ONGC (Nomination),2058,8284,80,1891,285,715,661,0,0,0,0,13974
Oil (Nomination),0,0,75,1639,0,0,0,0,0,0,0,1714
PSC/RSC & CBM Regime,115,320,850,76,0,4,13,497,22,337,1,2235
Total (a+b+c),2173,8604,1005,3606,285,719,674,497,22,337,1,17923
